session_id,frame_index,header_timestamp_ns,return_count
20260730_indoor_ball_1p5m_front_static_run01,112,1785425788033258752,43
20260730_indoor_ball_1p5m_front_static_run01,113,1785425788131502592,33
20260730_indoor_ball_1p5m_front_static_run01,114,1785425788232168192,31
20260730_indoor_ball_1p5m_front_static_run01,115,1785425788332431616,43
20260730_indoor_ball_1p5m_front_static_run01,116,1785425788435379968,33
20260730_indoor_ball_1p5m_front_static_run01,117,1785425788533228032,33
20260730_indoor_ball_1p5m_front_static_run01,118,1785425788634840320,40
20260730_indoor_ball_1p5m_front_static_run01,119,1785425788732645376,35
20260730_indoor_ball_1p5m_front_static_run01,120,1785425788832890880,32
20260730_indoor_ball_1p5m_front_static_run01,121,1785425788933121024,36
20260730_indoor_ball_1p5m_front_static_run01,122,1785425789036480512,37
20260730_indoor_ball_1p5m_front_static_run01,123,1785425789134597376,31
20260730_indoor_ball_1p5m_front_static_run01,124,1785425789234706432,36
20260730_indoor_ball_1p5m_front_static_run01,125,1785425789336593408,38
20260730_indoor_ball_1p5m_front_static_run01,126,1785425789437009664,33
20260730_indoor_ball_1p5m_front_static_run01,127,1785425789538420480,37
20260730_indoor_ball_1p5m_front_static_run01,128,1785425789637187840,37
20260730_indoor_ball_1p5m_front_static_run01,129,1785425789735394304,31
20260730_indoor_ball_1p5m_front_static_run01,130,1785425789837680128,34
20260730_indoor_ball_1p5m_front_static_run01,131,1785425789935803904,39
20260730_indoor_ball_1p5m_front_static_run01,132,1785425790037628416,32
20260730_indoor_ball_1p5m_front_static_run01,133,1785425790137543936,34
20260730_indoor_ball_1p5m_front_static_run01,134,1785425790235350528,42
20260730_indoor_ball_1p5m_front_static_run01,135,1785425790337990656,33
20260730_indoor_ball_1p5m_front_static_run01,136,1785425790437468672,33
20260730_indoor_ball_1p5m_front_static_run01,137,1785425790536241408,41
20260730_indoor_ball_1p5m_front_static_run01,138,1785425790639618560,34
20260730_indoor_ball_1p5m_front_static_run01,139,1785425790739967744,35
20260730_indoor_ball_1p5m_front_static_run01,140,1785425790837795584,42
20260730_indoor_ball_1p5m_front_static_run01,141,1785425790939336704,33
20260730_indoor_ball_1p5m_front_static_run01,142,1785425791037539328,25
20260730_indoor_ball_1p5m_front_static_run01,143,1785425791140084224,52
20260730_indoor_ball_1p5m_front_static_run01,144,1785425791239101696,31
20260730_indoor_ball_3m_front_static_run01,0,1785426600415760640,8
20260730_indoor_ball_3m_front_static_run01,1,1785426600521653760,8
20260730_indoor_ball_3m_front_static_run01,2,1785426600621447424,11
20260730_indoor_ball_3m_front_static_run01,3,1785426600720935680,4
20260730_indoor_ball_3m_front_static_run01,4,1785426600821385984,8
20260730_indoor_ball_3m_front_static_run01,5,1785426600921651200,11
20260730_indoor_ball_3m_front_static_run01,6,1785426601024593152,9
20260730_indoor_ball_3m_front_static_run01,7,1785426601121675776,8
20260730_indoor_ball_3m_front_static_run01,8,1785426601222654976,10
20260730_indoor_ball_3m_front_static_run01,9,1785426601323842816,9
20260730_indoor_ball_3m_front_static_run01,10,1785426601423557632,9
20260730_indoor_ball_3m_front_static_run01,11,1785426601524838144,11
20260730_indoor_ball_3m_front_static_run01,12,1785426601622379520,9
20260730_indoor_ball_3m_front_static_run01,13,1785426601725660672,6
20260730_indoor_ball_3m_front_static_run01,14,1785426601823104000,10
20260730_indoor_ball_3m_front_static_run01,15,1785426601924286720,7
20260730_indoor_ball_3m_front_static_run01,16,1785426602023652608,9
20260730_indoor_ball_3m_front_static_run01,17,1785426602125020416,10
20260730_indoor_ball_3m_front_static_run01,18,1785426602223974144,9
20260730_indoor_ball_3m_front_static_run01,19,1785426602326114560,7
20260730_indoor_ball_3m_front_static_run01,20,1785426602428160768,8
20260730_indoor_ball_3m_front_static_run01,21,1785426602527806208,10
20260730_indoor_ball_3m_front_static_run01,22,1785426602626734848,4
